variable,coef,se,t,p
const,-0.3309445095011243,0.8115434369060482,-0.4077964215480896,0.6834231410025544
dexpgdp,-0.09263976355999483,0.07573438352836293,-1.2232193522153745,0.22124685814285927
diy,0.5143090668737721,0.13458368376143842,3.821481568192403,0.00013265232997605736
dlenpr,-0.02421525787089212,0.026912106666655958,-0.899790498411437,0.36823175176931056
dlenprmod,0.024217927395349018,0.03237098097556604,0.7481369629678188,0.4543775487599775
dopen,0.08761276856122101,0.04643485956273691,1.8867887054304475,0.05918875086890152
expgdp_csmean,-0.08438832524057854,0.19543092717936555,-0.4318064006477713,0.6658821271423252
expgdp_csmean_lag,0.1924379526819343,0.1886031993471063,1.0203323875104076,0.3075708480696697
iy_csmean,-0.7965964747798735,0.24767067131019768,-3.216353678721079,0.0012983072052523692
iy_csmean_lag,0.09853321232024984,0.28085673237720893,0.35083087197608387,0.725715235000884
l_dlcpi2,-0.10162209898548408,0.06846309471176779,-1.4843339964884286,0.13772033552461793
l_iy,0.4639075728096821,0.13352406954496857,3.4743366824469515,0.0005121180102194423
l_lcpi,-0.10923439971887837,0.054374097058023485,-2.008941860722994,0.04454329984459138
l_lrgdpmad,-0.4305378040308483,0.07903058525929937,-5.447736501232448,5.101485833769459e-08
l_open,0.127162956967232,0.039307458597366285,3.235084676162511,0.0012160666069969128
lcpi_csmean,-0.024481808471427433,0.1296301147960005,-0.18885895850632056,0.8502033610076907
lcpi_csmean_lag,0.09211961885557685,0.1543579798434667,0.5967920735228246,0.550646210688758
lenpr_csmean,0.001051470486399037,0.03154825547529699,0.03332895814864827,0.9734122613195351
lenpr_csmean_lag,-0.031725835471018766,0.04249091869026695,-0.7466497889179776,0.45527498597699156
lrgdpmad_csmean,0.9699631216219713,0.20871980172779686,4.647202199276494,3.36467323691636e-06
lrgdpmad_csmean_lag,-0.4754028151579372,0.16080707486392212,-2.9563550954473348,0.003112984676036268
mod,-0.0003139964983040539,0.0069650911700356805,-0.045081462774656744,0.9640423769616882
open_csmean,-0.04629465175216296,0.026350432991797363,-1.7568839102785918,0.07893759866114203
open_csmean_lag,0.03486540162696864,0.043821745819771704,0.7956187270667319,0.4262536783761477
