Variable,Lag 0,Lag 1,Lag 2,Lag 3
No Trend,,,,
GDP,-1.43,-1.50,-1.28,-1.34
CPI,-1.90,-2.59**,-1.83,-1.65
ENERGY,-2.06*,-1.94,-1.82,-1.68
OpenTrade,-2.20*,-2.29*,-2.05*,-1.86
GovExp,-1.85,-1.74,-1.74,-1.81
Invest,-1.96,-2.24*,-2.14*,-1.95
D.GDP,-5.64**,-4.82**,-4.27**,-3.99**
D.CPI,-4.00**,-4.14**,-3.93**,-3.63**
D.ENERGY,-7.91**,-6.40**,-5.81**,-5.20**
D.OpenTrade,-6.47**,-5.70**,-5.06**,-3.89**
D.GovExp,-7.47**,-5.11**,-4.31**,-3.94**
D.Invest,-6.00**,-5.07**,-4.47**,-4.10**
Trend,,,,
GDP,-1.81,-2.01*,-1.81,-1.84
CPI,-2.71**,-3.76**,-2.84**,-2.56*
ENERGY,-2.71**,-2.61**,-2.41*,-2.26*
OpenTrade,-2.32*,-2.41*,-2.17*,-1.92
GovExp,-2.38*,-2.29*,-2.34*,-2.43*
Invest,-2.10*,-2.38*,-2.27*,-2.16*
