Variable,inst,exog,w/o_mod,recession,ger_ire,sixties
L.D.CPI>2%,-0.222**,-0.054,-0.133,-0.121,-0.222**,-0.167*
,(0.062),(0.081),(0.070),(0.124),(0.062),(0.068)
D.OpenTrade,0.089,0.116*,0.077*,0.136**,0.089,0.088*
,(0.054),(0.055),(0.039),(0.051),(0.054),(0.040)
D.GovExp,-0.044,-0.075,-0.143*,-0.059,-0.044,-0.066
,(0.068),(0.059),(0.068),(0.066),(0.068),(0.054)
D.Invest,0.649**,0.593**,0.627**,0.657**,0.649**,0.542**
,(0.156),(0.143),(0.144),(0.162),(0.156),(0.112)
L.GDP,-0.397**,-0.435**,-0.373**,-0.417**,-0.397**,-0.217**
,(0.074),(0.081),(0.067),(0.077),(0.074),(0.046)
L.CPI,-0.019,-0.035,-0.026,-0.030,-0.019,-0.014
,(0.071),(0.061),(0.069),(0.066),(0.071),(0.042)
L.OpenTrade,0.196**,0.225**,0.126**,0.189**,0.196**,0.124**
,(0.054),(0.065),(0.041),(0.058),(0.054),(0.036)
L.Invest,0.618**,0.624**,0.415**,0.616**,0.618**,0.222*
,(0.175),(0.179),(0.156),(0.193),(0.175),(0.101)
mod,0.004,0.000,,0.004,0.004,0.001
,(0.007),(0.006),,(0.007),(0.007),(0.004)
D.Energy×mod,-0.065,-0.066,,-0.067,-0.065,-0.046
,(0.082),(0.039),,(0.075),(0.082),(0.051)
D.Energy,0.008,,-0.027,-0.024,0.008,-0.028
,(0.059),,(0.022),(0.057),(0.059),(0.035)
recess,,,,0.003,,
,,,,(0.007),,
_cons,0.065,0.133,-0.007,-0.036,0.065,-0.055
,(0.412),(0.428),(0.430),(0.626),(0.412),(0.169)
Price effect (post-1982),-0.057,,-0.027,-0.092,-0.057,-0.075
